Intensity,Sum of Pixel
0,642.0
1,27.0
2,38.0
3,59.0
4,72.0
5,92.0
6,114.0
7,152.0
8,173.0
9,242.0
10,414.0
11,591.0
12,552.0
13,517.0
14,558.0
15,629.0
16,677.0
17,700.0
18,998.0
19,1029.0
20,1190.0
21,1216.0
22,1300.0
23,1570.0
24,1641.0
25,1830.0
26,2012.0
27,2036.0
28,2138.0
29,2250.0
30,2523.0
31,2499.0
32,2311.0
33,2439.0
34,2215.0
35,2293.0
36,2220.0
37,2141.0
38,2164.0
39,2137.0
40,1989.0
41,2146.0
42,2241.0
43,2346.0
44,2362.0
45,2199.0
46,2211.0
47,2101.0
48,1962.0
49,2087.0
50,2071.0
51,2018.0
52,1958.0
53,1915.0
54,1886.0
55,1935.0
56,2067.0
57,1948.0
58,1857.0
59,2118.0
60,2112.0
61,2131.0
62,1940.0
63,1977.0
64,2031.0
65,2198.0
66,2260.0
67,2143.0
68,2306.0
69,2698.0
70,2411.0
71,2551.0
72,2717.0
73,2854.0
74,2749.0
75,2379.0
76,2319.0
77,2162.0
78,2186.0
79,2039.0
80,1950.0
81,1857.0
82,1775.0
83,1878.0
84,1954.0
85,1852.0
86,1812.0
87,1751.0
88,1703.0
89,1639.0
90,1691.0
91,1628.0
92,1608.0
93,1581.0
94,1608.0
95,1589.0
96,1596.0
97,1565.0
98,1505.0
99,1490.0
100,1532.0
101,1552.0
102,1392.0
103,1445.0
104,1523.0
105,1594.0
106,1653.0
107,1617.0
108,1667.0
109,1643.0
110,1656.0
111,1682.0
112,1669.0
113,1693.0
114,1626.0
115,1723.0
116,1810.0
117,1850.0
118,1820.0
119,1895.0
120,1987.0
121,1968.0
122,2260.0
123,2512.0
124,3040.0
125,2963.0
126,3102.0
127,3452.0
128,3355.0
129,3657.0
130,3438.0
131,3335.0
132,3188.0
133,3267.0
134,3512.0
135,3559.0
136,3469.0
137,3086.0
138,3408.0
139,3324.0
140,3373.0
141,3323.0
142,3167.0
143,3212.0
144,3140.0
145,2878.0
146,2975.0
147,3028.0
148,2996.0
149,2978.0
150,2924.0
151,2802.0
152,2771.0
153,2829.0
154,2719.0
155,2576.0
156,2584.0
157,2538.0
158,2468.0
159,2448.0
160,2470.0
161,2607.0
162,2649.0
163,2736.0
164,2519.0
165,2636.0
166,2730.0
167,2876.0
168,2894.0
169,2641.0
170,2484.0
171,2441.0
172,2548.0
173,2473.0
174,2206.0
175,1755.0
176,1546.0
177,1612.0
178,1377.0
179,1439.0
180,1391.0
181,1406.0
182,1436.0
183,1505.0
184,1452.0
185,1436.0
186,1411.0
187,1416.0
188,1485.0
189,1399.0
190,1397.0
191,1652.0
192,1537.0
193,1482.0
194,1384.0
195,1247.0
196,1227.0
197,1202.0
198,1201.0
199,1197.0
200,1081.0
201,1086.0
202,1056.0
203,1131.0
204,1096.0
205,1128.0
206,1141.0
207,1125.0
208,1125.0
209,1050.0
210,960.0
211,996.0
212,1025.0
213,1029.0
214,1033.0
215,1018.0
216,1040.0
217,1085.0
218,1222.0
219,1436.0
220,1732.0
221,2433.0
222,4008.0
223,3049.0
224,3153.0
225,3649.0
226,3962.0
227,4349.0
228,4004.0
229,3908.0
230,4533.0
231,4487.0
232,4864.0
233,4899.0
234,5277.0
235,4959.0
236,4812.0
237,4902.0
238,4577.0
239,5001.0
240,4713.0
241,5161.0
242,5557.0
243,5701.0
244,5758.0
245,5381.0
246,5307.0
247,5811.0
248,5884.0
249,6544.0
250,6530.0
251,8909.0
252,8417.0
253,5872.0
254,3464.0
255,3033.0
